"symbol","status","n_reports_found","attempts","last_try"
"AAPL","ok",8,1,"2026-07-21 22:17:13.997979"
"NVDA","ok",8,1,"2026-07-21 22:17:16.589723"
"MSFT","ok",8,1,"2026-07-21 22:17:18.778817"
"AMZN","ok",8,1,"2026-07-21 22:17:20.757204"
"GOOGL","ok",8,1,"2026-07-21 22:17:22.899955"
"GOOG","ok",8,1,"2026-07-21 22:40:25.5009"
"META","ok",8,1,"2026-07-21 22:40:26.9591"
"TSLA","ok",8,1,"2026-07-21 22:40:29.517902"
"AVGO","ok",8,1,"2026-07-21 22:40:30.984608"
"BRK-B","ok",8,1,"2026-07-21 22:40:32.769896"
"WMT","ok",8,1,"2026-07-21 22:40:43.480228"
"LLY","ok",8,1,"2026-07-21 22:40:49.831085"
"JPM","ok",8,1,"2026-07-21 22:40:52.227619"
"V","ok",8,1,"2026-07-21 22:40:53.757809"
"MA","ok",8,1,"2026-07-21 22:40:55.690976"
"ORCL","ok",8,1,"2026-07-21 22:40:57.509917"
"XOM","ok",8,1,"2026-07-21 22:40:59.909078"
"UNH","ok",8,1,"2026-07-21 22:41:02.08879"
"COST","ok",7,1,"2026-07-21 22:41:03.65307"
"PG","ok",8,1,"2026-07-21 22:41:05.581616"
"HD","ok",8,1,"2026-07-21 22:41:08.082088"
"NFLX","ok",8,1,"2026-07-21 22:41:10.113084"
"JNJ","ok",8,1,"2026-07-21 22:41:12.313006"
"BAC","ok",8,1,"2026-07-21 22:41:14.764681"
"CRM","ok",7,1,"2026-07-21 22:41:16.405246"
"ABBV","ok",8,1,"2026-07-21 22:41:19.032637"
"KO","ok",8,1,"2026-07-21 22:41:21.380061"
"TMUS","ok",7,1,"2026-07-21 22:41:23.639075"
"CVX","ok",8,1,"2026-07-21 22:41:25.348138"
"MRK","ok",8,1,"2026-07-21 22:41:28.328338"
"WFC","ok",7,1,"2026-07-21 22:41:30.574737"
"CSCO","ok",8,1,"2026-07-21 22:41:32.241198"
"ACN","ok",8,1,"2026-07-21 22:41:34.659222"
"NOW","ok",7,1,"2026-07-21 22:41:42.327392"
"AXP","ok",7,1,"2026-07-21 22:41:44.889131"
"MCD","ok",8,1,"2026-07-21 22:41:46.691786"
"PEP","ok",8,1,"2026-07-21 22:41:48.344882"
"BX","ok",8,1,"2026-07-21 22:41:50.805966"
"IBM","ok",8,1,"2026-07-21 22:41:52.646786"
"DIS","ok",8,1,"2026-07-21 22:41:54.349212"
"LIN","ok",8,1,"2026-07-21 22:41:56.666997"
"TMO","ok",8,1,"2026-07-21 22:41:58.883557"
"MS","ok",8,1,"2026-07-21 22:42:01.72747"
"ABT","ok",8,1,"2026-07-21 22:42:04.122011"
"ADBE","ok",8,1,"2026-07-21 22:42:06.240607"
"AMD","ok",8,1,"2026-07-21 22:42:08.548924"
"PM","ok",8,1,"2026-07-21 22:42:10.297991"
"ISRG","ok",7,1,"2026-07-21 22:42:12.319937"
"PLTR","ok",7,1,"2026-07-21 22:42:14.790941"
"GE","ok",8,1,"2026-07-21 22:42:17.223918"
"INTU","ok",7,1,"2026-07-21 22:42:19.237424"
"GS","ok",8,1,"2026-07-21 22:42:21.885672"
"CAT","ok",8,1,"2026-07-21 22:42:24.342624"
"TXN","ok",8,1,"2026-07-21 22:42:26.602036"
"QCOM","ok",8,1,"2026-07-21 22:42:28.402206"
"VZ","ok",8,1,"2026-07-21 22:42:30.888318"
"BKNG","ok",8,1,"2026-07-21 22:42:33.664141"
"DHR","ok",8,1,"2026-07-21 22:42:35.460886"
"T","ok",8,1,"2026-07-21 22:42:37.427418"
"BLK","ok",8,1,"2026-07-21 22:42:39.678314"
"RTX","ok",8,1,"2026-07-21 22:42:41.770915"
"SPGI","ok",8,1,"2026-07-21 22:42:43.819243"
